"Date","Time","Location","Weather","Bird Species","Notes","Count","Sex","Comments"
,,,,"Iora",,,,
,,,,"magpie robin",,,,
,,,,"coucal",,,,
,,,,"little green beeeater",,,,
,,,,"coppersmith",,,,
,,,,"Franklins wren warbler",,,,
"16-7-00","6:20 am - ","Uday Rock",,"Drongo",,,,
,,,,"spotted dove",,,,
,,,,"twany eagle",,,,
,,,,"roufous tailed finch lark",,,,
,,,,"red rumped swallow",,,,
,,,,"bush chat",,,,
,,,,"Franklins wren warbler",,,,
,,,,"Purple sunbird",,,,
,,,,"pond heron",,,,
,,,,"Ashy wren warbler",,,,
,,,,"spotted munia",,,,
,,,,"red vented bulbul",,,,
,,,,"koel",,,,
,,,,"black winged kite",,,,"Black shouldered kite"
,,,,"ashy crowned finch lark",,,,
,,,,"little green beeeater",,,,
,,,,"large cuckoo shrike",,,,
,,,,"purple rumped sunbird",,,,
,,,,"white breasted kingfisher",,,,
,,,,"indian robin",,,,
,,,,"white headed babler",,,,
,,,,"malkoha",,,,
,,,,"little brown dove","heard",,,
,,,,"Tree pie","heard",,,
,,,,"Iora","heard",,,
,,,,"Indian wren warbler",,,,
,,,,"dusky craig martin",,,,
,,,,"coppersmith","heard",,,
,,,,"brahminy myna",,,,
,,,,"briown flycatcher",,,,
,,,,"loten sunbird",,,,
,,,,"tickles flowerpecker",,,,
,,,,"blue rock pigeon",,,,
"6-8-00","6:15 am - ",,"Cloudy sky","little green beeeater",,,,
,,,,"tickles flowerpecker",,,,
,,,,"red vented bulbul",,,,
,,,,"house swift",,,,
,,,,"purp[le sunbird",,,,
,,,,"roufous tailed finch lark",,,,
,,,,"Iora",,,,
,,,,"Koel",,,,
,,,,"Franklins wren warbler",,,,
,,,,"tailor bird",,,,
,,,,"purple rumped sunbird",,,,
,,,,"white browed bulbul",,,,
,,,,"red whiskered bulbul",,,,
,,,,"indian robin",,,,
,,,,"paradise fly catcher",,,,
,,,,"magpie robin",,,,
,,,,"brown flycatcher",,,,
,,,,"little brown dove",,,,
,,,,"spotted munia",,,,
,,,,"ringed dove",,,,
,,,,"honey buzzard",,,,
,,,,"coppersmith",,,,
"13-8-00","6:30 am – 8:00 am","Cave rock hill",,"Brown fish owl",,,,
,,,,"loten sunbird",,,,
,,,,"tickles flowerpecker",,,,
,,,,"coucal",,,,
,,,,"sirkeer cuckoo",,,"M & F",
,,,,"house swift",,,,
,,,,"Indian robin",,,,
,,,,"little green beeeater",,,,
,,,,"white browed bulbul",,,,
,,,,"red vented bulbul",,,,
,,,,"red rumped swallow",,,,
,,,,"spotted dove",,,,
,,,,"blue rock pigeon",,,,
,,,,"dusky craig martin",,,,
,,,,"myna",,,,
,,,,"bustard quail",,,,
,,,,"jungle bush quail",,,,
,,,,"purple rumped sunbird",,,,
,,,,"common babler",,,,
,,,,"spotted munia",,,,
,,,,"bush lark",,,,
,,,,"Hoopoe",,,,
"8-10-00",,"Mouth of the valley","Partially Cloudy","Iora",,,,
,,,,"greenish leaf warbler",,,,
,,,,"drongo",,,,
,,,,"spotted dove",,,,
,,,,"white browed bulbul",,,,
,,,,"red vented bulbul",,,,
,,,,"coucal",,,,
,,,,"loten sunbird",,,,
,,,,"coppersmith",,,,
,,,,"small minivet",,,,
,,,,"white headed Babbler",,,,
,,,,"grey drongo",,,,
,,,,"short toed eagle",,,,
,,,,"pond heron",,,,
,,,,"streaked fantail",,,,
,,,,"roufous winged bush lark",,,,
,,,,"red rumped swallow",,,,
,,,,"little green beeeater",,,,
,,,,"grey tit",,,,
,,,,"Indian robin",,,,
,,,,"Hoopoe",,,,
,,,,"ashy crowned finch lark",,,,
"10-12-00","6:45 am – 8:00 am","Perco Tank",,"Golden oriole",,,,
,,,,"myna",,,,
,,,,"W B bulbul",,,,
,,,,"white headed babler",,,,
,,,,"Hoopoe",,,,
,,,,"grey drongo",,,,
,,,,"Koel",,,,
,,,,"Rose Ringed Parakeet",,,,
,,,,"magpie robin",,,,
,,,,"ashy wren warbler",,,,
,,,,"spotted dove",,,,
,,,,"rose finch",,,,
,,,,"golden backed woodpecker",,,,
,,,,"purple rumped sunbird",,,,
,,,,"tickles flowerpecker",,,,
,,,,"coucal",,,,
,,,,"blossom headed parakeet",,,,
,,,,"indian tree pipet",,,,
,,,,"pied wagtail",,,,
,,,,"white breasted kingfisher",,,,
,,,,"red whiskered bulbul",,,,
,,,,"bush chat",,,"F",
,,,,"wren warbler",,,,
,,,,"little brown dove",,,,
,,,,"red wattled lapwing",,,,
,,,,"indian roller",,,,
"14-12-00","6:45 am – 8:15 am","Mouth of the valley",,"Black drongo",,,,
,,,,"black bellied finch lark",,,,
,,,,"little brown dove",,,,
,,,,"roufous tailed finch lark",,,,
,,,,"black winged kite",,,,
,,,,"spotted dove",,,,
,,,,"common myna",,,,
,,,,"red vented bulbul",,,,
,,,,"brown shrike",,,,
,,,,"purple sunbird",,,,
,,,,"Tree pie",,,,
,,,,"pied creasted cuckoo",,,,
,,,,"white eyed buzzard",,,,
"31-12-00",,"Cave rock hill",,"grey drongo",,,,
,,,,"hair creasted drongo",,,,
,,,,"white headed Babbler",,,,
,,,,"golden oriole",,,"M & F",
,,,,"spotted owlet",,,,
,,,,"Hoopoe",,,,
,,,,"spotted dove",,,,
,,,,"Koel",,,,
,,,,"coppersmith",,,,
,,,,"indian robin",,,,
,,,,"W B bulbul",,,,
,,,,"lesser white throat",,,,
,,,,"purple sunbird",,,,
,,,,"sirkeer cuckoo",,,,
,,,,"Blyths reed warbler",,,,
,,,,"tailor bird",,,,
,,,,"blue rock pigeon",,,,
,,,,"blue bearded beeeater",,,,
,,,,"red vented bulbul",,,,
,,,,"dusky craig martin",,,,
,,,,"common babler",,,,
,,,,"rose finch",,,,
,,,,"little brown dove",,,,
,,,,"bush lark",,,,
,,,,"B shrike",,,,
,,,,"roufous bellied babbler",,,,
,,,,"bush quail",,,,
,,,,"common swallow",,,,
,,,,"red rumped swallow",,,,
,,,,"kestral",,,,
,,,,"tailor bird",,,,
,,,,"purple sunbird",,,,
,,,,"lesser white throat",,,,
,,,,"little green beeeater",,,,
,,,,"pond heron",,,,
"4-3-01",,"Last Lake",,"hair creasted drongo",,,,
,,,,"grey drongo",,,,
,,,,"golden oriole",,,,
,,,,"magpie robin",,,,
,,,,"koel",,,,
,,,,"white breasted kingfisher",,,,
,,,,"greenish leaf warbler",,,,
,,,,"spotted owlet",,,,
,,,,"Hoopoe",,,,
,,,,"green billed malcoha",,,,
,,,,"little brown dove",,,,
,,,,"roufous bellied finchlark",,,,
,,,,"pariah kite",,,,
,,,,"Iora",,,,
,,,,"lesser white throat",,,,
,,,,"scarlet minivet",,,,
,,,,"Blyths reed warbler",,,,
,,,,"white browed bulbul",,,,
,,,,"wood shrike",,,,
,,,,"brown flycatcher",,,,
,,,,"black headed cuckoo shrike",,,,
,,,,"paradise fly catcher",,,"F",
,,,,"tickles flowerpecker",,,,
,,,,"purple rumped sunbird",,,,
,,,,"red whiskered bulbul",,,,
,,,,"purple sunbird",,,,
,,,,"rufous bellied babbler",,,,
,,,,"yellow eyed babbler",,,,
,,,,"Rose Ringed Parakeet",,,,
,,,,"grey partridge",,,,
,,,,"indian robin",,,,
,,,,"coppersmith",,,,
,,,,"black backed woodpecker",,,,
,,,,"myna",,,,
,,,,"spotted dove",,,,
,,,,"red rumped swallow",,,,
,,,,"Black drongo",,,,
,,,,"tailor bird",,,,
,,,,"red vented bulbul",,,,
,,,,"little green beeeater",,,,
"24-6-01","6:30 am – 8:00 am","Perco Tank",,"tailor bird",,,,
,,,,"coppersmith",,,,
,,,,"tickles flowerpecker",,,,
,,,,"pond heron",,,,
,,,,"golden backed woodpecker",,,,
,,,,"Iora",,,,
,,,,"white headed Babler",,,,
"1-7-01",,"Cave rock hill",,"red vented bulbul",,,,
,,,,"spotted dove",,,,
,,,,"indian robin",,,,
"22-7-01","6:30 am – 8:00 am","Mouth of the valley","Cloudy Sky","indian robin",,,,
,,,,"sirkeer cuckoo",,,,
,,,,"white breasted kingfisher",,,,
,,,,"red vented bulbul",,,,
,,,,"little brown dove",,,,
,,,,"pariah kite",,,,
,,,,"coucal",,,,
,,,,"Indian wren warbler",,,,
